Team,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure
Algeria,340,496,396,687,545,1232,287,31,685
Argentina,260,542,483,705,580,1285,308,23,659
Australia,155,298,205,349,309,658,241,24,573
Austria,267,371,337,549,426,975,301,43,603
Belgium,617,643,572,1028,804,1832,519,56,812
Bosnia and Herzegovina,286,356,344,497,489,986,257,22,676
Brazil,413,637,605,951,704,1655,375,47,712
Cabo Verde,223,379,264,449,417,866,204,15,485
Canada,458,442,397,631,666,1297,463,60,715
Colombia,368,520,420,615,693,1308,318,33,519
Congo DR,342,542,353,730,507,1237,323,22,636
Croatia,300,317,321,519,419,938,233,26,481
Curaçao,189,289,143,346,275,621,228,17,524
Czechia,232,305,203,371,369,740,245,19,439
Côte d'Ivoire,326,480,306,589,523,1112,424,46,861
Ecuador,320,514,474,699,609,1308,422,39,713
Egypt,270,387,438,537,558,1095,312,35,518
England,492,640,727,1050,809,1859,418,77,816
France,413,449,558,810,610,1420,448,69,744
Germany,440,631,520,849,742,1591,550,45,942
Ghana,215,164,198,310,267,577,170,23,342
Haiti,252,350,232,429,405,834,212,13,407
IR Iran,227,264,270,356,405,761,229,28,446
Iraq,300,391,264,548,407,955,172,22,430
Japan,392,576,511,872,607,1479,324,33,574
Jordan,210,323,208,351,390,741,186,27,465
Korea Republic,267,427,507,657,544,1201,274,40,678
Mexico,394,701,504,867,732,1599,379,32,686
Morocco,528,628,684,1041,799,1840,440,48,943
Netherlands,409,376,410,713,482,1195,380,47,642
New Zealand,263,471,328,559,503,1062,267,14,563
Norway,296,619,421,710,626,1336,413,32,759
Panama,239,366,284,418,471,889,248,28,532
Paraguay,164,264,237,327,338,665,212,18,521
Portugal,382,478,350,677,533,1210,378,47,590
Qatar,169,285,189,347,296,643,146,22,361
Saudi Arabia,207,276,224,386,321,707,244,24,523
Scotland,231,400,409,558,482,1040,230,15,430
Senegal,462,526,498,866,620,1486,460,54,988
South Africa,359,458,395,669,543,1212,283,29,634
Spain,469,498,620,938,649,1587,460,55,741
Sweden,285,427,353,611,454,1065,338,35,620
Switzerland,337,407,319,629,434,1063,317,46,562
Tunisia,287,448,265,547,453,1000,196,18,405
Türkiye,409,428,438,681,594,1275,378,41,709
USA,443,596,474,836,677,1513,447,64,807
Uruguay,436,399,347,599,583,1182,311,45,586
Uzbekistan,197,382,222,456,345,801,246,16,458
